timestamp,value
1651478400000,2.4575472
1651478460000,2.4575472
1651478520000,2.3336957
1651478580000,2.2115386
1651478640000,2.4145455
1651478700000,2.334659
1651478760000,2.2924242
1651478820000,2.2903614
1651478880000,2.25
1651478940000,2.3
1651479000000,2.485
1651479060000,2.2191489
1651479120000,2.0960937
1651479180000,2.4452128
1651479240000,2.136076
1651479300000,2.393421
1651479360000,2.2905064
1651479420000,2.3416667
1651479480000,2.3979166
1651479540000,2.2962964
1651479600000,2.3
1651479660000,2.4046154
1651479720000,2.4068966
1651479780000,2.1131148
1651479840000,2.4158823
1651479900000,2.274648
1651479960000,2.4483871
1651480020000,2.1612675
1651480080000,2.4493976
1651480140000,2.1934783
1651480200000,2.3512049
1651480260000,2.2339506
1651480320000,2.605224
1651480380000,2.1517441
1651480440000,2.4612677
1651480500000,2.308642
1651480560000,2.4050634
1651480620000,2.2462964
1651480680000,2.389865
1651480740000,2.314557
1651480800000,2.3735294
1651480860000,2.2467034
1651480920000,2.3138888
1651480980000,2.4322784
1651481040000,2.236875
1651481100000,2.3826666
1651481160000,2.414706
1651481220000,2.2963767
1651481280000,2.3693333
1651481340000,2.4966216
1651481400000,2.4006493
1651481460000,2.325625
1651481520000,2.3907895
1651481580000,2.3942857
1651481640000,2.2514493
1651481700000,2.3772728
1651481760000,2.2705555
1651481820000,2.4303796
1651481880000,2.2225
1651481940000,2.4478874
1651482000000,2.33125
1651482060000,2.33125
1651482120000,2.2875
1651482180000,2.2771428
1651482240000,2.3568182
1651482300000,2.2895522
1651482360000,2.3709877
1651482420000,2.240441
1651482480000,2.2819767
1651482540000,2.310274
1651482600000,2.392353
1651482660000,2.2274194
1651482720000,2.3772278
1651482780000,2.2025862
1651482840000,2.3283505
1651482900000,2.235
1651482960000,2.4172223
1651483020000,2.1949275
1651483080000,2.2773333
1651483140000,2.2072463
1651483200000,2.3616667
1651483260000,2.2713234
1651483320000,2.313187
1651483380000,2.4237287
1651483440000,2.3259037
1651483500000,2.2571428
1651483560000,2.3487012
1651483620000,2.5228572
1651483680000,2.3090909
1651483740000,2.2507143
1651483800000,2.2017648
1651483860000,2.3664384
1651483920000,2.2357142
1651483980000,2.2547946
1651484040000,2.4027028
1651484100000,2.22375
1651484160000,2.259091
1651484220000,2.2175324
1651484280000,2.294186
1651484340000,2.3914473
1651484400000,2.3722222
1651484460000,2.1210146
1651484520000,2.5278687
1651484580000,2.075
1651484640000,2.2285714
1651484700000,2.3492537
1651484760000,2.2272153
1651484820000,2.3598592
1651484880000,2.3952382
1651484940000,2.3542373
1651485000000,2.2642858
1651485060000,2.3555555
1651485120000,2.3233767
1651485180000,2.264865
1651485240000,2.3306668
1651485300000,2.3534245
1651485360000,2.2682927
1651485420000,2.3042374
1651485480000,2.2716668
1651485540000,2.1380596
1651485600000,2.4092858
1651485660000,2.4092858
1651485720000,2.1729167
1651485780000,2.3244047
1651485840000,2.2921429
1651485900000,2.3195946
1651485960000,2.4117188
1651486020000,2.2662652
1651486080000,2.4177632
1651486140000,2.3715277
1651486200000,2.24875
1651486260000,2.277711
1651486320000,2.355797
1651486380000,2.4170885
1651486440000,2.15
1651486500000,2.329114
1651486560000,2.324375
1651486620000,2.3144736
1651486680000,2.2190142
1651486740000,2.334091
1651486800000,2.089041
1651486860000,2.426875
1651486920000,2.0927536
1651486980000,2.1775641
1651487040000,2.3030121
1651487100000,2.4457746
1651487160000,2.4097016
1651487220000,2.328022
1651487280000,2.3393939
1651487340000,2.211628
1651487400000,2.380137
1651487460000,2.1632912
1651487520000,2.194737
1651487580000,2.3644736
1651487640000,2.3044305
1651487700000,2.319403
1651487760000,2.1240506
1651487820000,2.3746753
1651487880000,2.3033333
1651487940000,2.438
1651488000000,2.245139
1651488060000,2.244512
1651488120000,2.3232877
1651488180000,2.23125
1651488240000,2.281884
1651488300000,2.313125
1651488360000,2.2986112
1651488420000,2.2823172
1651488480000,2.3573334
1651488540000,2.188172
1651488600000,2.25
1651488660000,2.329651
1651488720000,2.2246032
1651488780000,2.37625
1651488840000,2.2020833
1651488900000,2.3166666
1651488960000,2.2564936
1651489020000,2.329114
1651489080000,2.3205884
1651489140000,2.354861
1651489200000,2.5452056
1651489260000,2.5452056
1651489320000,2.4226665
1651489380000,2.28625
1651489440000,2.3760564
1651489500000,2.2671232
1651489560000,2.3708334
1651489620000,2.432353
1651489680000,2.3143678
1651489740000,2.3207142
1651489800000,2.350625
1651489860000,2.33169
1651489920000,2.3070512
1651489980000,2.1761904
1651490040000,2.4375
1651490100000,2.1985075
1651490160000,2.4298851
1651490220000,2.2786884
1651490280000,2.429878
1651490340000,2.1963236
1651490400000,2.195122
1651490460000,2.3513699
1651490520000,2.2285714
1651490580000,2.2072368
1651490640000,2.3546052
1651490700000,2.2259493
1651490760000,2.2173612
1651490820000,2.2197368
1651490880000,2.4982352
1651490940000,2.3138888
1651491000000,2.2605882
1651491060000,2.4310126
1651491120000,2.3411393
1651491180000,2.3344595
1651491240000,2.3532894
1651491300000,2.1909091
1651491360000,2.3269737
1651491420000,2.3595588
1651491480000,2.31125
1651491540000,2.375
1651491600000,2.3608108
1651491660000,2.2794871
1651491720000,2.328481
1651491780000,2.3694444
1651491840000,2.3306668
1651491900000,2.247531
1651491960000,2.3
1651492020000,2.271605
1651492080000,2.3833334
1651492140000,2.285185
1651492200000,2.2589552
1651492260000,2.3182795
1651492320000,2.3042254
1651492380000,2.1877906
1651492440000,2.307143
1651492500000,2.3722222
1651492560000,2.1522388
1651492620000,2.3149426
1651492680000,2.4162338
1651492740000,2.3232877
1651492800000,2.4303796
1651492860000,2.4303796
1651492920000,2.3455129
1651492980000,2.2342858
1651493040000,2.3846667
1651493100000,2.3227272
1651493160000,2.2831168
1651493220000,2.3227272
1651493280000,2.3125
1651493340000,2.3444445
1651493400000,2.1876924
1651493460000,2.1701493
1651493520000,2.2569444
1651493580000,2.2817073
1651493640000,2.2231884
1651493700000,2.3845239
1651493760000,2.2558823
1651493820000,2.314458
1651493880000,2.197973
1651493940000,2.485542
1651494000000,2.2653847
1651494060000,2.4598765
1651494120000,2.3
1651494180000,2.347619
1651494240000,2.0607142
1651494300000,2.397619
1651494360000,2.1333334
1651494420000,2.297647
1651494480000,2.2450705
1651494540000,2.2556818
1651494600000,2.1253846
1651494660000,2.476875
1651494720000,2.2538462
1651494780000,2.3796053
1651494840000,2.3176057
1651494900000,2.2294872
1651494960000,2.2788463
1651495020000,2.4289062
1651495080000,2.3097825
1651495140000,2.4
1651495200000,2.257558
1651495260000,2.3
1651495320000,2.341279
1651495380000,2.3080645
1651495440000,2.320122
1651495500000,2.190141
1651495560000,2.272353
1651495620000,2.2563493
1651495680000,2.2813187
1651495740000,2.1621428
1651495800000,2.4142046
